,line,filename,entity,len,lineNo,blank,email,url,phone,sigdelimiter,special,words,header,name,endquote,tabs1,tabs2,tabs3,punct20,punct50,punct90,reply,startpunct,firstchar,replypunct,wrote,alphanum90,alphanum50,alphanum10,num90,num50,num10,title,nlines,len_avg,len_min,len_max,nBlanks,nNonBlanks,nSig,nSigBlocks,posFromEnd,last,prevlast,last5,last11,posRatio,posRatioFromEnd,posRatioNB,lenRatio,lenRatioMax,less_avg_len,more_avg_len,less_avg_len75,less_avg_len50
28,"Lisa,",102.txt,no_entity,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,L,0,0,1,0,0,0,0,0,1,6,28.0,0,138,2,4,2,1,5,0,0,0,1,0.16666666666666666,0.8333333333333334,0.25,0.17857142857142858,0.036231884057971016,1,0,1,1
29,,102.txt,no_entity,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,6,28.0,0,138,2,4,2,1,4,0,0,1,1,0.3333333333333333,0.6666666666666666,0.5,0.0,0.0,1,0,1,1
30,     Breakfast sandwiches and coffee could be in order this morn.   Let me know if you are down and when you can go.    Also tell Jsarnow.,102.txt,no_entity,138,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,1,0,0,0,0,0,0,6,28.0,0,138,2,4,2,1,3,0,0,1,1,0.5,0.5,0.75,4.928571428571429,1.0,0,1,0,0
31,,102.txt,no_entity,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,6,28.0,0,138,2,4,2,1,2,0,0,1,1,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,1,0,1,1
32,"late,",102.txt,signature,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,l,0,0,1,0,0,0,0,0,0,6,28.0,0,138,2,4,2,1,1,0,1,1,1,0.8333333333333334,0.16666666666666666,1.25,0.17857142857142858,0.036231884057971016,1,0,1,1
33,Darren,102.txt,signature,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,1,6,28.0,0,138,2,4,2,1,0,1,0,1,1,1.0,0.0,1.5,0.21428571428571427,0.043478260869565216,1,0,1,1
34,"This is a presentation I put together for Derek, but it was some general info that may be of interest to you.",103.txt,no_entity,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,1,0,0,0,0,0,0,5,72.0,0,196,2,3,0,0,4,0,0,1,1,0.2,0.8,0.3333333333333333,1.5138888888888888,0.5561224489795918,0,1,0,0
35,,103.txt,no_entity,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,5,72.0,0,196,2,3,0,0,3,0,0,1,1,0.4,0.6,0.6666666666666666,0.0,0.0,1,0,1,1
36,Let me know if and when you guys would like to sit down and go over Ontario in a bit me detail at some point over the next week. You can also get a good fundies overview from the IMO forecasts at:,103.txt,no_entity,196,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,0,0,1,0,0,0,0,0,0,5,72.0,0,196,2,3,0,0,2,0,0,1,1,0.6,0.4,1.0,2.7222222222222223,1.0,0,1,0,0
37,,103.txt,no_entity,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,5,72.0,0,196,2,3,0,0,1,0,1,1,1,0.8,0.2,1.3333333333333333,0.0,0.0,1,0,1,1
38,http://www.iemo.com/imoweb/monthsYears/monthsAhead.asp,103.txt,no_entity,54,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,h,0,0,1,0,0,0,0,0,0,5,72.0,0,196,2,3,0,0,0,1,0,1,1,1.0,0.0,1.6666666666666667,0.75,0.2755102040816326,1,0,1,0
39,Reminder,104.txt,no_entity,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,1,16,57.0,0,507,6,10,6,2,15,0,0,0,0,0.0625,0.9375,0.1,0.14035087719298245,0.015779092702169626,1,0,1,1
40,,104.txt,no_entity,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,16,57.0,0,507,6,10,6,2,14,0,0,0,0,0.125,0.875,0.2,0.0,0.0,1,0,1,1
41,,104.txt,no_entity,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,16,57.0,0,507,6,10,6,2,13,0,0,0,0,0.1875,0.8125,0.3,0.0,0.0,1,0,1,1
42,	Please have your Corporate Governance material to me by 2:00 p.m. this afternoon in order to put together in booklet form and deliver to each team member,104.txt,no_entity,154,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,0,1,0,0,0,0,0,0,16,57.0,0,507,6,10,6,2,12,0,0,0,0,0.25,0.75,0.4,2.7017543859649122,0.3037475345167653,0,1,0,0
43,"	this same afternoon.  A hard copy would be much appreciated, but if need be please send via email.",104.txt,no_entity,99,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,	,0,0,1,0,0,0,0,0,0,16,57.0,0,507,6,10,6,2,11,0,0,0,0,0.3125,0.6875,0.5,1.736842105263158,0.1952662721893491,0,1,0,0
44,,104.txt,no_entity,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,16,57.0,0,507,6,10,6,2,10,0,0,0,1,0.375,0.625,0.6,0.0,0.0,1,0,1,1
45,	Thank you in advance.,104.txt,no_entity,22,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,0,1,0,0,0,0,0,0,16,57.0,0,507,6,10,6,2,9,0,0,0,1,0.4375,0.5625,0.7,0.38596491228070173,0.04339250493096647,1,0,1,1
46,,104.txt,no_entity,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,16,57.0,0,507,6,10,6,2,8,0,0,0,1,0.5,0.5,0.8,0.0,0.0,1,0,1,1
47,Laura Valencia,104.txt,signature,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,0,0,0,0,0,0,0,0,1,16,57.0,0,507,6,10,6,2,7,0,0,0,1,0.5625,0.4375,0.9,0.24561403508771928,0.027613412228796843,1,0,1,1
48,Executive Assistant,104.txt,signature,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,0,0,0,0,0,0,0,1,16,57.0,0,507,6,10,6,2,6,0,0,0,1,0.625,0.375,1.0,0.3333333333333333,0.03747534516765286,1,0,1,1
49,Tel:  713-853-6485,104.txt,signature,18,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,1,0,0,0,1,1,1,16,57.0,0,507,6,10,6,2,5,0,0,0,1,0.6875,0.3125,1.1,0.3157894736842105,0.03550295857988166,1,0,1,1
50,Fax:  713/853-2534,104.txt,signature,18,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,F,0,0,1,0,0,0,1,1,1,16,57.0,0,507,6,10,6,2,4,0,0,1,1,0.75,0.25,1.2,0.3157894736842105,0.03550295857988166,1,0,1,1
51,,104.txt,no_entity,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,16,57.0,0,507,6,10,6,2,3,0,0,1,1,0.8125,0.1875,1.3,0.0,0.0,1,0,1,1
52,CONFIDENTIALITY NOTICE,104.txt,signature,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,16,57.0,0,507,6,10,6,2,2,0,0,1,1,0.875,0.125,1.4,0.38596491228070173,0.04339250493096647,1,0,1,1
53,,104.txt,no_entity,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,16,57.0,0,507,6,10,6,2,1,0,1,1,1,0.9375,0.0625,1.5,0.0,0.0,1,0,1,1
54,"сThe information contained in this email may be confidential and/or privileged. This email is intended to be reviewed by the individual or organization named above. If you are not the indented recipient, you are hereby notified that any review, dissemination or copying of this email or its attachments, if any, or the information contained herein is prohibited. If you receive this email in error, please immediately notify the sender by return email and delete this email from your system. Thank you.",104.txt,signature,502,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,с,0,0,1,0,0,0,0,0,0,16,57.0,0,507,6,10,6,2,0,1,0,1,1,1.0,0.0,1.6,8.807017543859649,0.9901380670611439,0,1,0,0
55,We were cut 40 MW today by BPA for peak hours on 6/18 at COB on enpower deal number 305699. Lisa purchased replacement power from Avista at $30. Enpower 897712,105.txt,no_entity,159,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,1,0,0,0,0,1,0,12,43.0,0,193,3,9,7,1,11,0,0,0,0,0.08333333333333333,0.9166666666666666,0.1111111111111111,3.697674418604651,0.8238341968911918,0,1,0,0
56,,105.txt,no_entity,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,12,43.0,0,193,3,9,7,1,10,0,0,0,1,0.16666666666666666,0.8333333333333334,0.2222222222222222,0.0,0.0,1,0,1,1
57,"We presold power to Avista at $33.50 for the month and are now buying it back from them at $30 to book out.  Of course, BPA should not charge us for the 27.25 supply price under their contract.",105.txt,no_entity,193,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,1,0,0,0,0,0,0,12,43.0,0,193,3,9,7,1,9,0,0,0,1,0.25,0.75,0.3333333333333333,4.488372093023256,1.0,0,1,0,0
58,,105.txt,no_entity,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,12,43.0,0,193,3,9,7,1,8,0,0,0,1,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.0,0.0,1,0,1,1
59,,105.txt,no_entity,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,12,43.0,0,193,3,9,7,1,7,0,0,0,1,0.4166666666666667,0.5833333333333334,0.5555555555555556,0.0,0.0,1,0,1,1
60,Mo Elafandi ,105.txt,signature,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,1,0,0,0,0,0,1,12,43.0,0,193,3,9,7,1,6,0,0,0,1,0.5,0.5,0.6666666666666666,0.27906976744186046,0.06217616580310881,1,0,1,1
61,Enron North America ,105.txt,signature,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,0,1,0,0,0,0,0,1,12,43.0,0,193,3,9,7,1,5,0,0,0,1,0.5833333333333334,0.4166666666666667,0.7777777777777778,0.46511627906976744,0.10362694300518134,1,0,1,1
62,"121 SW Salmon, 3WTC0407",105.txt,signature,23,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,12,43.0,0,193,3,9,7,1,4,0,0,1,1,0.6666666666666666,0.3333333333333333,0.8888888888888888,0.5348837209302325,0.11917098445595854,1,0,1,0
63,"Portland, OR 97204 ",105.txt,signature,19,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,1,0,0,0,0,1,0,12,43.0,0,193,3,9,7,1,3,0,0,1,1,0.75,0.25,1.0,0.4418604651162791,0.09844559585492228,1,0,1,1
64,503-464-5106 ,105.txt,signature,13,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,1,0,12,43.0,0,193,3,9,7,1,2,0,0,1,1,0.8333333333333334,0.16666666666666666,1.1111111111111112,0.3023255813953488,0.06735751295336788,1,0,1,1
65,Fax 503-464-7376,105.txt,signature,16,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,F,0,0,1,0,0,0,1,1,1,12,43.0,0,193,3,9,7,1,1,0,1,1,1,0.9166666666666666,0.08333333333333333,1.2222222222222223,0.37209302325581395,0.08290155440414508,1,0,1,1
66,Cellular 503-860-8564,105.txt,signature,21,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,1,0,0,0,0,1,1,12,43.0,0,193,3,9,7,1,0,1,0,1,1,1.0,0.0,1.3333333333333333,0.4883720930232558,0.10880829015544041,1,0,1,1
67,"Greg,",107.txt,no_entity,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,G,0,0,1,0,0,0,0,0,1,42,60.0,0,612,19,23,10,3,41,0,0,0,0,0.023809523809523808,0.9761904761904762,0.043478260869565216,0.08333333333333333,0.008169934640522876,1,0,1,1
68,,107.txt,no_entity,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,42,60.0,0,612,19,23,10,3,40,0,0,0,0,0.047619047619047616,0.9523809523809523,0.08695652173913043,0.0,0.0,1,0,1,1
69,,107.txt,no_entity,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,42,60.0,0,612,19,23,10,3,39,0,0,0,0,0.07142857142857142,0.9285714285714286,0.13043478260869565,0.0,0.0,1,0,1,1
70,"Further to my email to you earlier today, we have tracked down the reasons for the discrepancies in the termination dates in your list versus the chart we have prepared.  In many instances, that contract was reviewed by BCG, and it was determined that the wrong termination date was set, given the provisions of the contract.  I understand that a memo with respect to this issue likely was forwarded to ECC by Chris Christopher and John Eamon on January 8, 2002 ( a copy of which is attached), which set out that based on our review of the contracts, the following parties and their proper termination dates are:",107.txt,no_entity,612,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,F,0,0,1,0,0,0,0,0,0,42,60.0,0,612,19,23,10,3,38,0,0,0,0,0.09523809523809523,0.9047619047619048,0.17391304347826086,10.2,1.0,0,1,0,0
71,,107.txt,no_entity,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,42,60.0,0,612,19,23,10,3,37,0,0,0,0,0.11904761904761904,0.8809523809523809,0.21739130434782608,0.0,0.0,1,0,1,1
72,"AEC Marketing, physical, gas  - February 1, 2002",107.txt,no_entity,48,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,1,0,0,0,0,1,0,42,60.0,0,612,19,23,10,3,36,0,0,0,0,0.14285714285714285,0.8571428571428571,0.2608695652173913,0.8,0.0784313725490196,1,0,0,0
73,"Calpine Canada Natural Gas Partnership (Encal) physical, gas - February 1, 2002",107.txt,no_entity,79,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,1,0,0,0,0,0,0,42,60.0,0,612,19,23,10,3,35,0,0,0,0,0.16666666666666666,0.8333333333333334,0.30434782608695654,1.3166666666666667,0.12908496732026145,0,1,0,0
74,"El Paso Merchant Energy, physical gas - February 1, 2002",107.txt,no_entity,56,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,0,1,0,0,0,0,0,0,42,60.0,0,612,19,23,10,3,34,0,0,0,0,0.19047619047619047,0.8095238095238095,0.34782608695652173,0.9333333333333333,0.0915032679738562,1,0,0,0
75,"Williams Energy Marketing & Trade Co. - February 1, 2002",107.txt,no_entity,56,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,1,0,0,0,0,0,1,42,60.0,0,612,19,23,10,3,33,0,0,0,0,0.21428571428571427,0.7857142857142857,0.391304347826087,0.9333333333333333,0.0915032679738562,1,0,0,0
76,,107.txt,no_entity,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,42,60.0,0,612,19,23,10,3,32,0,0,0,0,0.23809523809523808,0.7619047619047619,0.43478260869565216,0.0,0.0,1,0,1,1
77,Our review last night also revealed the following:,107.txt,no_entity,50,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,1,0,0,0,0,0,0,42,60.0,0,612,19,23,10,3,31,0,0,0,0,0.2619047619047619,0.7380952380952381,0.4782608695652174,0.8333333333333334,0.08169934640522876,1,0,0,0
78,"Baytex physical, gas- ECC list says terminated January 6/02, but the January 4/02 letter from ECC set a termination date of January 8/02, which is reflected in the Chart",107.txt,no_entity,169,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,1,0,0,0,0,0,0,42,60.0,0,612,19,23,10,3,30,0,0,0,0,0.2857142857142857,0.7142857142857143,0.5217391304347826,2.816666666666667,0.2761437908496732,0,1,0,0
79,,107.txt,no_entity,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,42,60.0,0,612,19,23,10,3,29,0,0,0,0,0.30952380952380953,0.6904761904761905,0.5652173913043478,0.0,0.0,1,0,1,1
80,"Marathon Canada Limited physical, gas - ECC list says terminated December 18/01, however the chart suggests that this was revised by a letter from ECC, sent December 31, 01, changing the termination date to January 4/02.  Chris Christopher recalls the letter, but we do not have a copy of that letter.",107.txt,no_entity,301,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,1,0,0,0,0,0,0,42,60.0,0,612,19,23,10,3,28,0,0,0,0,0.3333333333333333,0.6666666666666666,0.6086956521739131,5.016666666666667,0.4918300653594771,0,1,0,0
81,,107.txt,no_entity,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,42,60.0,0,612,19,23,10,3,27,0,0,0,0,0.35714285714285715,0.6428571428571429,0.6521739130434783,0.0,0.0,1,0,1,1
