,line,filename,entity,len,lineNo,email,url,phone,sigdelimiter,special,words,name,endquote,tabs1,tabs2,tabs3,punct20,punct50,punct90,reply,startpunct,firstchar,replypunct,wrote,alphanum90,alphanum50,alphanum10,title,nlines,len_avg,len_min,len_max,nBlanks,nNonBlanks,nSig,posFromEnd,last,prevlast,last5,last11,posRatio,posRatioNB,lenRatio,less_avg_len,more_avg_len,less_avg_len75,less_avg_len50
23,Let me know if and when you guys would like to sit down and go over Ontario in a bit me detail at some point over the next week. You can also get a good fundies overview from the IMO forecasts at:,103.txt,no_entity,196,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,0,1,1,0,0,0,8,120.0,54,196,5,3,0,1,0,1,1,1,0.25,0.6666666666666666,1.6333333333333333,0,1,0,0
24,http://www.iemo.com/imoweb/monthsYears/monthsAhead.asp,103.txt,no_entity,54,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,1,1,0,0,0,8,120.0,54,196,5,3,0,0,1,0,1,1,0.375,1.0,0.45,1,0,1,1
25,"	sharon.butcher@enron.com, tim.despain@enron.com, ",104.txt,no_entity,50,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,29,82.0,8,507,15,14,6,13,0,0,0,0,0.034482758620689655,0.07142857142857142,0.6097560975609756,1,0,1,0
26,"	andrew.parsons@enron.com, l..carson@enron.com",104.txt,no_entity,46,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,29,82.0,8,507,15,14,6,12,0,0,0,0,0.06896551724137931,0.14285714285714285,0.5609756097560976,1,0,1,0
27,"	k..heathman@enron.com, rick.buy@enron.com, raymond.bowen@enron.com",104.txt,no_entity,67,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,29,82.0,8,507,15,14,6,11,0,0,0,0,0.10344827586206896,0.21428571428571427,0.8170731707317073,1,0,0,0
28,"	k..heathman@enron.com, rick.buy@enron.com, raymond.bowen@enron.com",104.txt,no_entity,67,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,29,82.0,8,507,15,14,6,10,0,0,0,1,0.13793103448275862,0.2857142857142857,0.8170731707317073,1,0,0,0
29,Reminder,104.txt,no_entity,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,1,0,0,0,1,29,82.0,8,507,15,14,6,9,0,0,0,1,0.1724137931034483,0.35714285714285715,0.0975609756097561,1,0,1,1
30,	Please have your Corporate Governance material to me by 2:00 p.m. this afternoon in order to put together in booklet form and deliver to each team member,104.txt,no_entity,154,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,29,82.0,8,507,15,14,6,8,0,0,0,1,0.20689655172413793,0.42857142857142855,1.8780487804878048,0,1,0,0
31,"	this same afternoon.  A hard copy would be much appreciated, but if need be please send via email.",104.txt,no_entity,99,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,29,82.0,8,507,15,14,6,7,0,0,0,1,0.2413793103448276,0.5,1.2073170731707317,0,1,0,0
32,	Thank you in advance.,104.txt,no_entity,22,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,29,82.0,8,507,15,14,6,6,0,0,0,1,0.27586206896551724,0.5714285714285714,0.2682926829268293,1,0,1,1
33,Laura Valencia,104.txt,signature,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,0,1,0,0,0,1,29,82.0,8,507,15,14,6,5,0,0,0,1,0.3103448275862069,0.6428571428571429,0.17073170731707318,1,0,1,1
34,Executive Assistant,104.txt,signature,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,1,0,0,0,1,29,82.0,8,507,15,14,6,4,0,0,1,1,0.3448275862068966,0.7142857142857143,0.23170731707317074,1,0,1,1
35,Tel:  713-853-6485,104.txt,signature,18,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,1,29,82.0,8,507,15,14,6,3,0,0,1,1,0.3793103448275862,0.7857142857142857,0.21951219512195122,1,0,1,1
36,Fax:  713/853-2534,104.txt,signature,18,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,1,1,0,0,1,29,82.0,8,507,15,14,6,2,0,0,1,1,0.41379310344827586,0.8571428571428571,0.21951219512195122,1,0,1,1
37,CONFIDENTIALITY NOTICE,104.txt,signature,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,1,0,0,0,0,29,82.0,8,507,15,14,6,1,0,1,1,1,0.4482758620689655,0.9285714285714286,0.2682926829268293,1,0,1,1
38,"сThe information contained in this email may be confidential and/or privileged. This email is intended to be reviewed by the individual or organization named above. If you are not the indented recipient, you are hereby notified that any review, dissemination or copying of this email or its attachments, if any, or the information contained herein is prohibited. If you receive this email in error, please immediately notify the sender by return email and delete this email from your system. Thank you.",104.txt,signature,502,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,с,0,1,1,0,0,0,29,82.0,8,507,15,14,6,0,1,0,1,1,0.4827586206896552,1.0,6.121951219512195,0,1,0,0
39,We were cut 40 MW today by BPA for peak hours on 6/18 at COB on enpower deal number 305699. Lisa purchased replacement power from Avista at $30. Enpower 897712,105.txt,no_entity,159,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,0,13,57.0,17,193,4,9,7,8,0,0,0,1,0.07692307692307693,0.1111111111111111,2.789473684210526,0,1,0,0
40,"We presold power to Avista at $33.50 for the month and are now buying it back from them at $30 to book out.  Of course, BPA should not charge us for the 27.25 supply price under their contract.",105.txt,no_entity,193,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,0,13,57.0,17,193,4,9,7,7,0,0,0,1,0.15384615384615385,0.2222222222222222,3.3859649122807016,0,1,0,0
41,Mo Elafandi ,105.txt,signature,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,1,1,0,0,1,13,57.0,17,193,4,9,7,6,0,0,0,1,0.23076923076923078,0.3333333333333333,0.21052631578947367,1,0,1,1
42,Enron North America ,105.txt,signature,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,1,1,0,0,1,13,57.0,17,193,4,9,7,5,0,0,0,1,0.3076923076923077,0.4444444444444444,0.3508771929824561,1,0,1,1
43,"121 SW Salmon, 3WTC0407",105.txt,signature,23,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,13,57.0,17,193,4,9,7,4,0,0,1,1,0.38461538461538464,0.5555555555555556,0.40350877192982454,1,0,1,1
44,"Portland, OR 97204 ",105.txt,signature,19,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,1,1,0,0,0,13,57.0,17,193,4,9,7,3,0,0,1,1,0.46153846153846156,0.6666666666666666,0.3333333333333333,1,0,1,1
45,503-464-5106 ,105.txt,signature,13,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,13,57.0,17,193,4,9,7,2,0,0,1,1,0.5384615384615384,0.7777777777777778,0.22807017543859648,1,0,1,1
46,Fax 503-464-7376,105.txt,signature,16,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,1,1,0,0,1,13,57.0,17,193,4,9,7,1,0,1,1,1,0.6153846153846154,0.8888888888888888,0.2807017543859649,1,0,1,1
47,Cellular 503-860-8564,105.txt,signature,21,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,1,1,0,0,1,13,57.0,17,193,4,9,7,0,1,0,1,1,0.6923076923076923,1.0,0.3684210526315789,1,0,1,1
48,"Greg,",107.txt,no_entity,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,G,0,1,1,0,0,1,43,109.0,5,612,20,23,10,22,0,0,0,0,0.023255813953488372,0.043478260869565216,0.045871559633027525,1,0,1,1
49,"Further to my email to you earlier today, we have tracked down the reasons for the discrepancies in the termination dates in your list versus the chart we have prepared.  In many instances, that contract was reviewed by BCG, and it was determined that the wrong termination date was set, given the provisions of the contract.  I understand that a memo with respect to this issue likely was forwarded to ECC by Chris Christopher and John Eamon on January 8, 2002 ( a copy of which is attached), which set out that based on our review of the contracts, the following parties and their proper termination dates are:",107.txt,no_entity,612,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,1,1,0,0,0,43,109.0,5,612,20,23,10,21,0,0,0,0,0.046511627906976744,0.08695652173913043,5.614678899082569,0,1,0,0
50,"AEC Marketing, physical, gas  - February 1, 2002",107.txt,no_entity,48,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,1,1,0,0,0,43,109.0,5,612,20,23,10,20,0,0,0,0,0.06976744186046512,0.13043478260869565,0.44036697247706424,1,0,1,1
51,"Calpine Canada Natural Gas Partnership (Encal) physical, gas - February 1, 2002",107.txt,no_entity,79,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,1,1,0,0,0,43,109.0,5,612,20,23,10,19,0,0,0,0,0.09302325581395349,0.17391304347826086,0.7247706422018348,1,0,1,0
52,"El Paso Merchant Energy, physical gas - February 1, 2002",107.txt,no_entity,56,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,1,1,0,0,0,43,109.0,5,612,20,23,10,18,0,0,0,0,0.11627906976744186,0.21739130434782608,0.5137614678899083,1,0,1,0
53,"Williams Energy Marketing & Trade Co. - February 1, 2002",107.txt,no_entity,56,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,1,43,109.0,5,612,20,23,10,17,0,0,0,0,0.13953488372093023,0.2608695652173913,0.5137614678899083,1,0,1,0
54,Our review last night also revealed the following:,107.txt,no_entity,50,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,1,1,0,0,0,43,109.0,5,612,20,23,10,16,0,0,0,0,0.16279069767441862,0.30434782608695654,0.45871559633027525,1,0,1,1
55,"Baytex physical, gas- ECC list says terminated January 6/02, but the January 4/02 letter from ECC set a termination date of January 8/02, which is reflected in the Chart",107.txt,no_entity,169,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,1,0,0,0,43,109.0,5,612,20,23,10,15,0,0,0,0,0.18604651162790697,0.34782608695652173,1.5504587155963303,0,1,0,0
56,"Marathon Canada Limited physical, gas - ECC list says terminated December 18/01, however the chart suggests that this was revised by a letter from ECC, sent December 31, 01, changing the termination date to January 4/02.  Chris Christopher recalls the letter, but we do not have a copy of that letter.",107.txt,no_entity,301,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,1,1,0,0,0,43,109.0,5,612,20,23,10,14,0,0,0,0,0.20930232558139536,0.391304347826087,2.761467889908257,0,1,0,0
57,"Calpine Canada Natural Gas Partnership (Orbit) physical, gas - we have reviewed the contract and determined that the chart is incorrect.  It has been changed from February 1/02 to December 18/01, as set out in the ECC list.",107.txt,no_entity,223,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,1,1,0,0,0,43,109.0,5,612,20,23,10,13,0,0,0,0,0.23255813953488372,0.43478260869565216,2.0458715596330275,0,1,0,0
58,I understand that you have reviewed the Cinergy contract and determined the reason for the discrepancy in that instance.,107.txt,no_entity,120,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I,0,1,1,0,0,0,43,109.0,5,612,20,23,10,12,0,0,0,0,0.2558139534883721,0.4782608695652174,1.1009174311926606,0,1,0,0
59,"We continue our review of a couple of entries, namely Canadian Natural Resources, Talisman Energy Inc, and Dynegy Canada.  The remainder of the list was either consistent with the Chart, or had no entry and was therefore updated with your information.",107.txt,no_entity,251,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,0,43,109.0,5,612,20,23,10,11,0,0,0,0,0.27906976744186046,0.5217391304347826,2.302752293577982,0,1,0,0
60,Thank you for forwarding this to our attention.,107.txt,no_entity,47,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,0,43,109.0,5,612,20,23,10,10,0,0,0,1,0.3023255813953488,0.5652173913043478,0.43119266055045874,1,0,1,1
61,Bryan C. Duguid,107.txt,signature,15,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,B,0,1,1,0,0,1,43,109.0,5,612,20,23,10,9,0,0,0,1,0.32558139534883723,0.6086956521739131,0.13761467889908258,1,0,1,1
62,Partner,107.txt,signature,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,1,0,0,0,1,43,109.0,5,612,20,23,10,8,0,0,0,1,0.3488372093023256,0.6521739130434783,0.06422018348623854,1,0,1,1
63,"Blake, Cassels & Graydon LLP",107.txt,signature,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,1,0,0,0,43,109.0,5,612,20,23,10,7,0,0,0,1,0.37209302325581395,0.6956521739130435,0.25688073394495414,1,0,1,1
64,"3500, 855 Second Street SW",107.txt,signature,26,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,43,109.0,5,612,20,23,10,6,0,0,0,1,0.3953488372093023,0.7391304347826086,0.23853211009174313,1,0,1,1
65,"Calgary, AB  T2P 4J8",107.txt,signature,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,1,1,0,0,0,43,109.0,5,612,20,23,10,5,0,0,0,1,0.4186046511627907,0.782608695652174,0.1834862385321101,1,0,1,1
66,Tel: 403.260.9716,107.txt,signature,17,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,1,43,109.0,5,612,20,23,10,4,0,0,1,1,0.4418604651162791,0.8260869565217391,0.1559633027522936,1,0,1,1
67,Fax: 403.260.9700,107.txt,signature,17,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,1,1,0,0,1,43,109.0,5,612,20,23,10,3,0,0,1,1,0.46511627906976744,0.8695652173913043,0.1559633027522936,1,0,1,1
68,E-mail:  bryan.duguid@blakes.com,107.txt,signature,32,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,1,1,0,0,0,43,109.0,5,612,20,23,10,2,0,0,1,1,0.4883720930232558,0.9130434782608695,0.29357798165137616,1,0,1,1
69,"This e-mail communication is confidential and legally privileged. If you are not the intended recipient, please notify me at the telephone number shown above or by return e-mail and delete this communication and any copy immediately. Thank you.",107.txt,signature,244,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,0,43,109.0,5,612,20,23,10,1,0,1,1,1,0.5116279069767442,0.9565217391304348,2.238532110091743,0,1,0,0
70, - ActionLi.DOC ,107.txt,signature,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,1,0,0,0,43,109.0,5,612,20,23,10,0,1,0,1,1,0.5348837209302325,1.0,0.14678899082568808,1,0,1,1
71,The following expense report is ready for approval:,108.txt,no_entity,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,0,12,39.0,21,79,4,8,0,7,0,0,0,1,0.08333333333333333,0.125,1.3076923076923077,0,1,0,0
72,Employee Name: Richard L. Carson,108.txt,no_entity,32,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,E,0,1,1,0,0,1,12,39.0,21,79,4,8,0,6,0,0,0,1,0.16666666666666666,0.25,0.8205128205128205,1,0,0,0
73,Status last changed by: Rita J. Hennessy,108.txt,no_entity,40,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,S,0,1,1,0,0,0,12,39.0,21,79,4,8,0,5,0,0,0,1,0.25,0.375,1.0256410256410255,0,1,0,0
74,Expense Report Name: January  2002,108.txt,no_entity,34,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,1,1,0,0,1,12,39.0,21,79,4,8,0,4,0,0,1,1,0.3333333333333333,0.5,0.8717948717948718,1,0,0,0
75,Report Total: $136.17,108.txt,no_entity,21,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,1,1,0,0,1,12,39.0,21,79,4,8,0,3,0,0,1,1,0.4166666666666667,0.625,0.5384615384615384,1,0,1,0
76,Amount Due Employee: $136.17,108.txt,no_entity,28,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,1,1,0,0,1,12,39.0,21,79,4,8,0,2,0,0,1,1,0.5,0.75,0.717948717948718,1,0,1,0
77,"To approve this expense report, click on the following link for Concur Expense.",108.txt,no_entity,79,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,0,12,39.0,21,79,4,8,0,1,0,1,1,1,0.5833333333333334,0.875,2.0256410256410255,0,1,0,0
78,http://expensexms.enron.com,108.txt,no_entity,27,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,1,1,0,0,0,12,39.0,21,79,4,8,0,0,1,0,1,1,0.6666666666666666,1.0,0.6923076923076923,1,0,1,0
79,Lisa I will need to call Hafslund today and request their December 01 detail.,109.txt,no_entity,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,0,1,1,0,0,0,9,28.0,6,77,5,4,2,3,0,0,1,1,0.1111111111111111,0.25,2.75,0,1,0,0
80,Thanks,109.txt,no_entity,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,0,0,0,1,9,28.0,6,77,5,4,2,2,0,0,1,1,0.2222222222222222,0.5,0.21428571428571427,1,0,1,1
81,Mark,109.txt,signature,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,1,0,0,0,1,9,28.0,6,77,5,4,2,1,0,1,1,1,0.3333333333333333,0.75,0.14285714285714285,1,0,1,1
82,713-345-7179,109.txt,signature,12,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,9,28.0,6,77,5,4,2,0,1,0,1,1,0.4444444444444444,1.0,0.42857142857142855,1,0,1,1
83," R.; Bryja, James; Braune, Carlos; Ferrell, Daniel; Juvane, Danilo; Hermans=",11.txt,no_entity,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,1,0,0,1,14,64.0,2,76,2,12,0,11,0,0,0,0,0.07142857142857142,0.08333333333333333,1.1875,0,1,0,0
84,", Greg; Kristal, Yana; Carter, Ray; Tamariz, Angel; Tamariz, Angel; Bhatia,=",11.txt,no_entity,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,",",0,1,1,0,0,1,14,64.0,2,76,2,12,0,10,0,0,0,1,0.14285714285714285,0.16666666666666666,1.1875,0,1,0,0
85, Om,11.txt,no_entity,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,1,0,0,1,14,64.0,2,76,2,12,0,9,0,0,0,1,0.21428571428571427,0.25,0.046875,1,0,1,1
86,Please find attached Competitive Intelligence's current assessment of recen=,11.txt,no_entity,76,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,1,1,0,0,0,14,64.0,2,76,2,12,0,8,0,0,0,1,0.2857142857142857,0.3333333333333333,1.1875,0,1,0,0
87,"t events in several emerging markets, particularly Argentina.  As the situa=",11.txt,no_entity,76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t,0,1,1,0,0,0,14,64.0,2,76,2,12,0,7,0,0,0,1,0.35714285714285715,0.4166666666666667,1.1875,0,1,0,0
88,"tion there appears to be getting more dire, we will continue monitoring the=",11.txt,no_entity,76,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t,0,1,1,0,0,0,14,64.0,2,76,2,12,0,6,0,0,0,1,0.42857142857142855,0.5,1.1875,0,1,0,0
89, potential ramifications for other emerging markets such as Brazil.  Please=,11.txt,no_entity,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,1,0,0,0,14,64.0,2,76,2,12,0,5,0,0,0,1,0.5,0.5833333333333334,1.1875,0,1,0,0
